Image ID,File Name,No. of Faces,Real Face Count,Fake Face Count
0,Images/Train/9c541c578f.jpg,1,0,1
1,Images/Train/e44ef213aa.jpg,2,0,2
2,Images/Train/8ded94d4df.jpg,1,0,1
3,Images/Train/85ce8a2508.jpg,1,0,1
4,Images/Train/273ee16b8d.jpg,1,0,1
5,Images/Train/92d855a7ed.jpg,3,1,2
6,Images/Train/83a23af95d.jpg,1,0,1
7,Images/Train/81de096176.jpg,3,2,1
8,Images/Train/58bdd8c694.jpg,2,0,2
9,Images/Train/7e8504d069.jpg,1,0,1
10,Images/Train/9fc314bc05.jpg,1,0,1
11,Images/Train/6d92e3a6f4.jpg,1,0,1
12,Images/Train/ac7697610b.jpg,1,0,1
13,Images/Train/6040c33f75.jpg,1,0,1
14,Images/Train/95b5942d80.jpg,1,0,1
15,Images/Train/1dd55024cc.jpg,1,0,1
16,Images/Train/4d269e641b.jpg,1,0,1
17,Images/Train/4dd0e496f8.jpg,1,0,1
18,Images/Train/10ddfd6652.jpg,1,0,1
19,Images/Train/3ab5d518e2.jpg,1,0,1
20,Images/Train/16c5cdd02a.jpg,1,0,1
21,Images/Train/66fa2da4a5.jpg,2,1,1
22,Images/Train/17091a2a6a.jpg,1,0,1
23,Images/Train/abb3970565.jpg,1,0,1
24,Images/Train/c4a3ac8c2b.jpg,1,0,1
25,Images/Train/30ced6dd04.jpg,1,0,1
26,Images/Train/af220bfeac.jpg,1,0,1
27,Images/Train/17bcd1aa35.jpg,1,0,1
28,Images/Train/47ca51de26.jpg,1,0,1
29,Images/Train/378a272158.jpg,1,0,1
30,Images/Train/2d11dcde2d.jpg,1,0,1
31,Images/Train/5be2ebf166.jpg,1,0,1
32,Images/Train/515d47f2a3.jpg,4,2,2
33,Images/Train/3e13fa971c.jpg,1,0,1
34,Images/Train/3298de4e69.jpg,1,0,1
35,Images/Train/d5b8ef2c54.jpg,1,0,1
36,Images/Train/fb84ae2fa8.jpg,1,0,1
37,Images/Train/c816317377.jpg,1,0,1
38,Images/Train/9d195ecbdd.jpg,1,0,1
39,Images/Train/3b10bbc729.jpg,1,0,1
40,Images/Train/3da5bd35d1.jpg,1,0,1
41,Images/Train/ae8cd8f9e9.jpg,2,0,2
42,Images/Train/44b0c5fc53.jpg,2,1,1
43,Images/Train/432b4db1f4.jpg,1,0,1
44,Images/Train/d9aa1d39eb.jpg,1,0,1
45,Images/Train/b90be8e06e.jpg,1,0,1
46,Images/Train/aa930a4187.jpg,1,0,1
47,Images/Train/8847207763.jpg,1,0,1
48,Images/Train/f6845fdefb.jpg,1,0,1
49,Images/Train/ef3cc0da6f.jpg,3,0,3
50,Images/Train/e6950dbc14.jpg,1,0,1
51,Images/Train/6e3de01001.jpg,1,0,1
52,Images/Train/11b94ff5b7.jpg,1,0,1
53,Images/Train/f9f6ad6443.jpg,1,0,1
54,Images/Train/c95ad0649e.jpg,1,0,1
55,Images/Train/5c4a45782d.jpg,1,0,1
56,Images/Train/ee04395667.jpg,1,0,1
57,Images/Train/60ece545c3.jpg,1,0,1
58,Images/Train/ed00f91cfb.jpg,1,0,1
59,Images/Train/794ed4bb23.jpg,1,0,1
60,Images/Train/a03fd77975.jpg,1,0,1
61,Images/Train/c6b3bbc211.jpg,1,0,1
62,Images/Train/b9bff728e7.jpg,1,0,1
63,Images/Train/5c8bd5c110.jpg,1,0,1
64,Images/Train/68b12964d9.jpg,1,0,1
65,Images/Train/f2af270e20.jpg,1,0,1
66,Images/Train/c43c33d75b.jpg,1,0,1
67,Images/Train/48720f9374.jpg,1,0,1
68,Images/Train/cc84a4bf99.jpg,1,0,1
69,Images/Train/294e453faa.jpg,1,0,1
70,Images/Train/ff425b36ac.jpg,2,1,1
71,Images/Train/7e898a9a6f.jpg,1,0,1
72,Images/Train/45bc5e06e6.jpg,1,0,1
73,Images/Train/26af52edd9.jpg,8,6,2
74,Images/Train/eb1c856cf8.jpg,1,0,1
75,Images/Train/5bf0e5f312.jpg,1,0,1
76,Images/Train/5f2788a139.jpg,1,0,1
77,Images/Train/51cb010da3.jpg,1,0,1
78,Images/Train/8d4f2e86d1.jpg,1,0,1
79,Images/Train/97ababa96b.jpg,1,0,1
80,Images/Train/6ea24455e0.jpg,1,0,1
81,Images/Train/a9f1adbcdb.jpg,1,0,1
82,Images/Train/ee0b5cf1ea.jpg,1,0,1
83,Images/Train/7ccaef55ce.jpg,1,0,1
84,Images/Train/7dc6b6f0b6.jpg,2,1,1
85,Images/Train/82a70ef0b7.jpg,1,0,1
86,Images/Train/1def03eb30.jpg,1,0,1
87,Images/Train/f5c0ff91af.jpg,1,0,1
88,Images/Train/b4e26c0d38.jpg,1,0,1
89,Images/Train/3d6ba0c9ed.jpg,1,0,1
90,Images/Train/6f91b10526.jpg,1,0,1
91,Images/Train/5c82fb7bbb.jpg,1,0,1
92,Images/Train/f28acf2ff8.jpg,1,0,1
93,Images/Train/e869597e30.jpg,1,0,1
94,Images/Train/38dab3d9e2.jpg,1,0,1
95,Images/Train/9a888c0528.jpg,1,0,1
96,Images/Train/ec900c4c07.jpg,4,3,1
97,Images/Train/adcd9cf9d7.jpg,1,0,1
98,Images/Train/f8090c4828.jpg,2,1,1
99,Images/Train/c23e738381.jpg,2,0,2
100,Images/Train/886e1d640d.jpg,1,0,1
101,Images/Train/5dd5061979.jpg,1,0,1
102,Images/Train/4b1e831e07.jpg,1,0,1
103,Images/Train/fcc5458d7c.jpg,3,1,2
104,Images/Train/6e36755aea.jpg,1,0,1
105,Images/Train/185bc8c931.jpg,1,0,1
106,Images/Train/bf828fd077.jpg,1,0,1
107,Images/Train/b68446ff21.jpg,1,0,1
108,Images/Train/8879601acc.jpg,1,0,1
109,Images/Train/9842c38144.jpg,1,0,1
110,Images/Train/c2c9f95b5d.jpg,2,0,2
111,Images/Train/51c35e71c7.jpg,1,0,1
112,Images/Train/23d60528ae.jpg,1,0,1
113,Images/Train/cef8db8460.jpg,1,0,1
114,Images/Train/1d2edbbaa7.jpg,1,0,1
115,Images/Train/dfbcdaaa36.jpg,3,1,2
116,Images/Train/bf63f17b12.jpg,4,3,1
117,Images/Train/d2a2528c5b.jpg,1,0,1
118,Images/Train/f248adc87d.jpg,1,0,1
119,Images/Train/3f764b621d.jpg,2,1,1
120,Images/Train/aa8eb08592.jpg,1,0,1
121,Images/Train/2753d6a355.jpg,1,0,1
122,Images/Train/7d6811c345.jpg,1,0,1
